countryid,NationalTeamName,NationalTeamNameClean,NationalTeamNameCleanAll,FlagPath,FlagPathWeb,filename_x,filename_y,countrynameextract
190,AFGHANISTAN,afghanistan,afghanistan,flags-normal/flag-of-Afghanistan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Afghanistan.png,flag-of-Afghanistan.png,flag-of-Afghanistan.png,afghanistan
76,ALBANIA,albania,albania,flags-normal/flag-of-Albania.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Albania.png,flag-of-Albania.png,flag-of-Albania.png,albania
117,ALGERIA,algeria,algeria,flags-normal/flag-of-Algeria.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Algeria.png,flag-of-Algeria.png,flag-of-Algeria.png,algeria
222,AMERICAN SAMOA,american samoa,americansamoa,flags-normal/flag-of-American-Samoa.png,,flag-of-American-Samoa.png,flag-of-American-Samoa.png,americansamoa
193,ANDORRA,andorra,andorra,flags-normal/flag-of-Andorra.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Andorra.png,flag-of-Andorra.png,flag-of-Andorra.png,andorra
109,ANGOLA,angola,angola,flags-normal/flag-of-Angola.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Angola.png,flag-of-Angola.png,flag-of-Angola.png,angola
210,ANGUILLA,anguilla,anguilla,flags-normal/flag-of-Anguilla.png,,flag-of-Anguilla.png,flag-of-Anguilla.png,anguilla
108,ANTIGUA AND BARBUDA,antigua and barbuda,antiguaandbarbuda,flags-normal/flag-of-Antigua.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Antigua.png,flag-of-Antigua.png,,
1,ARGENTINA,argentina,argentina,flags-normal/flag-of-Argentina.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Argentina.png,flag-of-Argentina.png,flag-of-Argentina.png,argentina
86,ARMENIA,armenia,armenia,flags-normal/flag-of-Armenia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Armenia.png,flag-of-Armenia.png,flag-of-Armenia.png,armenia
175,ARUBA,aruba,aruba,flags-normal/flag-of-Aruba.png,,flag-of-Aruba.png,flag-of-Aruba.png,aruba
21,AUSTRALIA,australia,australia,flags-normal/flag-of-Australia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Australia.png,flag-of-Australia.png,flag-of-Australia.png,australia
44,AUSTRIA,austria,austria,flags-normal/flag-of-Austria.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Austria.png,flag-of-Austria.png,flag-of-Austria.png,austria
88,AZERBAIJAN,azerbaijan,azerbaijan,flags-normal/flag-of-Azerbaijan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Azerbaijan.png,flag-of-Azerbaijan.png,flag-of-Azerbaijan.png,azerbaijan
172,BAHAMAS,bahamas,bahamas,flags-normal/flag-of-Bahamas.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Bahamas.png,flag-of-Bahamas.png,flag-of-Bahamas.png,bahamas
23,BAHRAIN,bahrain,bahrain,flags-normal/flag-of-Bahrain.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Bahrain.png,flag-of-Bahrain.png,flag-of-Bahrain.png,bahrain
161,BANGLADESH,bangladesh,bangladesh,flags-normal/flag-of-Bangladesh.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Bangladesh.png,flag-of-Bangladesh.png,flag-of-Bangladesh.png,bangladesh
105,BARBADOS,barbados,barbados,flags-normal/flag-of-Barbados.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Barbados.png,flag-of-Barbados.png,flag-of-Barbados.png,barbados
77,BELARUS,belarus,belarus,flags-normal/flag-of-Belarus.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Belarus.png,flag-of-Belarus.png,flag-of-Belarus.png,belarus
45,BELGIUM,belgium,belgium,flags-normal/flag-of-Belgium.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Belgium.png,flag-of-Belgium.png,flag-of-Belgium.png,belgium
174,BELIZE,belize,belize,flags-normal/flag-of-Belize.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Belize.png,flag-of-Belize.png,flag-of-Belize.png,belize
135,BENIN,benin,benin,flags-normal/flag-of-Benin.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Benin.png,flag-of-Benin.png,flag-of-Benin.png,benin
106,BERMUDA,bermuda,bermuda,flags-normal/flag-of-Bermuda.png,,flag-of-Bermuda.png,flag-of-Bermuda.png,bermuda
187,BHUTAN,bhutan,bhutan,flags-normal/flag-of-Bhutan.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Bhutan.png,flag-of-Bhutan.png,flag-of-Bhutan.png,bhutan
9,BOLIVIA,bolivia,bolivia,flags-normal/flag-of-Bolivia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Bolivia.png,flag-of-Bolivia.png,flag-of-Bolivia.png,bolivia
211,BONAIRE,bonaire,bonaire,flags-normal/flag-of-Bonaire.png,,flag-of-Bonaire.png,flag-of-Bonaire.png,bonaire
78,BOSNIA & HERZEGOVINA,bosnia and herzegovina,bosniaandherzegovina,flags-normal/flag-of-Bosnia-Herzegovina.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Bosnia-Herzegovina.png,flag-of-Bosnia-Herzegovina.png,,
137,BOTSWANA,botswana,botswana,flags-normal/flag-of-Botswana.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Botswana.png,flag-of-Botswana.png,flag-of-Botswana.png,botswana
2,BRAZIL,brazil,brazil,flags-normal/flag-of-Brazil.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Brazil.png,flag-of-Brazil.png,flag-of-Brazil.png,brazil
220,BRITISH VIRGIN ISLANDS,british virgin islands,britishvirginislands,flags-normal/flag-of-British-Virgin-Islands.png,,flag-of-British-Virgin-Islands.png,flag-of-British-Virgin-Islands.png,britishvirginislands
191,BRUNEI DARUSSALAM,brunei darussalam,brunei,flags-normal/flag-of-Brunei.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Brunei.png,flag-of-Brunei.png,flag-of-Brunei.png,brunei
46,BULGARIA,bulgaria,bulgaria,flags-normal/flag-of-Bulgaria.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Bulgaria.png,flag-of-Bulgaria.png,flag-of-Bulgaria.png,bulgaria
118,BURKINA FASO,burkina faso,burkinafaso,flags-normal/flag-of-Burkina-Faso.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Burkina-Faso.png,flag-of-Burkina-Faso.png,flag-of-Burkina-Faso.png,burkinafaso
143,BURUNDI,burundi,burundi,flags-normal/flag-of-Burundi.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Burundi.png,flag-of-Burundi.png,flag-of-Burundi.png,burundi
164,CAMBODIA,cambodia,cambodia,flags-normal/flag-of-Cambodia.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Cambodia.png,flag-of-Cambodia.png,flag-of-Cambodia.png,cambodia
110,CAMEROON,cameroon,cameroon,flags-normal/flag-of-Cameroon.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Cameroon.png,flag-of-Cameroon.png,flag-of-Cameroon.png,cameroon
96,CANADA,canada,canada,flags-normal/flag-of-Canada.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Canada.png,flag-of-Canada.png,flag-of-Canada.png,canada
119,CAPE VERDE,cape verde,capeverde,flags-normal/nan,,,,
178,CAYMAN ISLANDS,cayman islands,caymanislands,flags-normal/flag-of-Cayman-Islands.png,,flag-of-Cayman-Islands.png,flag-of-Cayman-Islands.png,caymanislands
197,CENTRAL AFRICAN REPUBLIC,central african republic,centralafricanrepublic,flags-normal/flag-of-Central-African-Republic.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Central-African-Republic.png,flag-of-Central-African-Republic.png,flag-of-Central-African-Republic.png,centralafricanrepublic
195,CHAD,chad,chad,flags-normal/flag-of-Chad.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Chad.png,flag-of-Chad.png,flag-of-Chad.png,chad
3,CHILE,chile,chile,flags-normal/flag-of-Chile.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-Chile.png,flag-of-Chile.png,flag-of-Chile.png,chile
22,CHINA,china,china,flags-normal/flag-of-China.png,https://www.countries-ofthe-world.com/flags-normal/flag-of-China.png,flag-of-China.png,flag-of-China.png,china
